gene_id	Control_Rep1	Control_Rep2	Control_Rep3	Treated_Rep1	Treated_Rep2	Treated_Rep3
KLK3	5403	8245	6379	30834	33137	20082
FKBP5	1974	2144	2597	7764	14368	13595
TMPRSS2	42	59	36	221	315	381
NKX3-1	108	369	295	1469	1700	1519
SLC45A3	90	54	76	199	141	285
ELL2	67	59	35	170	140	223
ABCC4	655	323	547	3965	2606	3239
HERC3	21	15	21	50	50	56
ZBTB10	38	63	40	216	234	331
PMEPA1	135	127	127	452	692	218
STEAP1	23	50	18	214	121	176
STEAP2	1060	755	660	4116	5066	2143
S100A6	241	182	388	355	749	608
GUCY1A3	57	48	44	232	285	251
SEC14L2	124	100	164	312	342	275
PPAP2A	25	32	44	218	188	123
MAOA	69	67	129	319	306	349
ACSL3	71	76	107	456	322	440
NDRG1	142	134	217	436	455	565
IGF1R	112	136	119	430	516	364
MYC	36	38	104	4	9	15
DKK1	161	149	102	35	52	76
CDH1	95	124	79	11	19	32
IL6	56	81	63	24	35	17
IGFBP3	380	304	374	146	217	143
SNAI2	312	242	189	139	84	75
VIM	77	77	103	66	48	49
TGFB2	198	314	197	115	58	154
MKI67	108	97	62	59	147	64
CDKN1A	17	21	29	3	4	10
TOP2A	104	50	48	46	40	42
CCND1	221	179	252	38	97	70
AURKA	50	44	49	39	42	21
BCL2	305	198	238	95	90	101
FOXA1	263	197	272	100	123	95
ACTB	6147	7368	10409	5045	3678	4267
GAPDH	9930	7261	8110	14482	11020	6288
TBP	138	213	141	195	249	139
B2M	133	168	140	150	100	113
HPRT1	22	12	22	14	23	15
RPLP0	46	55	46	57	43	40
PPIA	69	52	57	71	56	31
GUSB	17	18	12	17	3	12
PGK1	182	248	311	243	356	229
YWHAZ	54	65	36	81	86	91
SDHA	355	289	372	368	285	360
HMBS	58	47	24	58	64	57
GENE_0001	24	23	34	22	26	25
GENE_0002	262	455	171	290	291	371
GENE_0003	247	418	450	214	457	391
GENE_0004	15	17	18	20	13	15
GENE_0005	221	168	250	196	171	397
GENE_0006	581	254	321	393	395	363
GENE_0007	1043	1419	771	618	1013	1189
GENE_0008	127	112	217	115	140	180
GENE_0009	421	428	194	445	389	361
GENE_0010	23	28	24	25	32	23
GENE_0011	75	75	37	64	79	38
GENE_0012	155	94	133	81	43	173
GENE_0013	86	77	272	96	167	121
GENE_0014	20	35	27	37	29	47
GENE_0015	136	224	134	123	156	164
GENE_0016	666	402	495	523	523	314
GENE_0017	230	175	157	202	165	169
GENE_0018	903	551	1537	871	1845	1880
GENE_0019	32	25	20	18	40	37
GENE_0020	31	50	64	51	56	40
GENE_0021	40	54	45	34	26	69
GENE_0022	145	92	107	124	175	250
GENE_0023	32	11	37	47	27	19
GENE_0024	819	676	1160	725	1211	987
GENE_0025	93	77	87	135	85	98
GENE_0026	64	68	50	32	45	51
GENE_0027	391	381	427	356	264	326
GENE_0028	224	397	326	465	291	380
GENE_0029	80	123	66	68	77	77
GENE_0030	45	39	61	32	17	44
GENE_0031	121	145	91	137	141	141
GENE_0032	25	27	28	15	25	25
GENE_0033	111	129	134	128	82	126
GENE_0034	23	48	29	27	25	47
GENE_0035	43	53	57	69	33	37
GENE_0036	155	250	179	182	259	396
GENE_0037	331	832	887	1137	761	734
GENE_0038	74	51	93	60	78	114
GENE_0039	574	170	347	517	523	531
GENE_0040	269	364	391	363	353	374
GENE_0041	667	491	191	540	608	595
GENE_0042	95	60	116	63	83	74
GENE_0043	553	477	647	702	463	403
GENE_0044	136	108	122	154	177	64
GENE_0045	187	118	68	153	204	202
GENE_0046	142	71	33	73	103	88
GENE_0047	53	49	31	33	49	77
GENE_0048	39	19	49	29	28	35
GENE_0049	170	273	159	250	361	210
GENE_0050	122	108	144	53	143	108
GENE_0051	217	192	214	323	340	306
GENE_0052	123	95	123	152	228	217
GENE_0053	64	37	26	57	48	66
GENE_0054	337	268	188	179	126	239
GENE_0055	398	330	187	454	471	443
GENE_0056	228	185	180	215	280	219
GENE_0057	27	19	42	41	17	23
GENE_0058	277	277	265	141	188	197
GENE_0059	816	532	600	801	387	785
GENE_0060	42	56	96	83	70	113
GENE_0061	112	134	151	81	104	62
GENE_0062	154	210	172	245	287	185
GENE_0063	142	122	175	166	142	119
GENE_0064	36	59	50	40	67	70
GENE_0065	22	39	27	26	48	58
GENE_0066	143	110	154	147	122	184
GENE_0067	26	10	31	33	35	38
GENE_0068	65	52	83	61	50	30
GENE_0069	118	169	80	76	115	125
GENE_0070	16	21	10	22	19	16
GENE_0071	117	160	117	147	82	148
GENE_0072	85	75	71	61	60	48
GENE_0073	78	55	59	36	44	55
GENE_0074	1302	1221	922	1051	659	969
GENE_0075	96	118	101	79	110	68
GENE_0076	19	16	45	27	9	17
GENE_0077	242	122	171	186	274	198
GENE_0078	178	207	334	281	189	170
GENE_0079	94	175	154	133	112	142
GENE_0080	165	150	272	140	183	141
GENE_0081	337	512	304	393	423	357
GENE_0082	130	71	81	60	42	101
GENE_0083	144	276	365	299	326	313
GENE_0084	122	186	190	352	148	205
GENE_0085	245	117	146	285	273	199
GENE_0086	596	922	529	401	281	725
GENE_0087	136	67	111	85	104	127
GENE_0088	249	286	326	227	418	215
GENE_0089	106	95	50	55	92	108
GENE_0090	441	511	430	694	374	673
GENE_0091	299	260	119	301	266	390
GENE_0092	35	23	21	18	27	21
GENE_0093	166	215	170	219	127	155
GENE_0094	123	135	115	49	130	118
GENE_0095	87	270	144	181	137	177
GENE_0096	431	423	462	515	265	340
GENE_0097	25	18	5	25	21	21
GENE_0098	35	56	51	55	68	36
GENE_0099	90	71	106	83	76	67
GENE_0100	340	177	220	255	172	215
GENE_0101	30	26	28	21	34	37
GENE_0102	87	119	156	133	129	106
GENE_0103	120	129	105	132	165	195
GENE_0104	67	107	44	65	66	27
GENE_0105	30	41	31	24	23	13
GENE_0106	160	351	229	241	274	296
GENE_0107	310	297	441	258	246	361
GENE_0108	60	31	74	25	26	50
GENE_0109	36	26	50	45	57	50
GENE_0110	284	347	151	470	236	191
GENE_0111	239	229	152	132	144	252
GENE_0112	244	259	208	129	263	243
GENE_0113	17	24	33	34	31	19
GENE_0114	371	239	263	468	291	478
GENE_0115	548	490	484	521	409	370
GENE_0116	98	156	238	134	153	204
GENE_0117	78	137	61	117	168	113
GENE_0118	168	152	98	122	213	180
GENE_0119	67	48	110	107	75	72
GENE_0120	185	137	171	141	208	157
GENE_0121	78	91	115	59	84	74
GENE_0122	82	61	59	45	54	51
GENE_0123	162	215	143	200	121	192
GENE_0124	188	132	207	136	138	127
GENE_0125	192	345	382	256	348	336
GENE_0126	375	946	1057	748	507	659
GENE_0127	121	113	76	89	117	83
GENE_0128	183	413	194	153	215	250
GENE_0129	27	19	15	21	13	14
GENE_0130	117	141	127	226	231	193
GENE_0131	129	177	252	181	123	116
GENE_0132	157	80	122	185	117	200
GENE_0133	105	99	92	109	99	133
GENE_0134	75	111	59	102	151	126
GENE_0135	118	113	98	82	150	91
GENE_0136	284	313	427	330	247	489
GENE_0137	192	191	263	105	147	143
GENE_0138	57	85	65	74	59	59
GENE_0139	260	241	381	236	248	153
GENE_0140	64	45	54	50	80	45
GENE_0141	44	91	53	85	72	79
GENE_0142	138	126	195	157	273	162
GENE_0143	257	258	405	204	141	292
GENE_0144	83	152	142	177	260	182
GENE_0145	66	74	40	146	65	82
GENE_0146	25	54	67	51	32	65
GENE_0147	150	70	180	122	160	150
GENE_0148	161	239	150	119	148	235
GENE_0149	226	262	169	210	244	219
GENE_0150	662	549	549	574	743	475
GENE_0151	55	64	121	79	67	54
GENE_0152	77	29	57	52	59	51
GENE_0153	78	106	107	73	51	130
GENE_0154	1171	1077	1312	1233	1254	1370
GENE_0155	167	162	127	152	184	204
GENE_0156	45	86	62	54	42	62
GENE_0157	192	137	93	139	262	274
GENE_0158	379	194	148	140	226	244
GENE_0159	104	46	111	80	76	105
GENE_0160	384	365	396	321	174	314
GENE_0161	15	22	17	30	24	20
GENE_0162	333	293	212	327	222	333
GENE_0163	138	253	238	88	254	113
GENE_0164	230	236	277	250	163	384
GENE_0165	63	111	76	70	88	106
GENE_0166	1050	1142	1223	1408	1115	1611
GENE_0167	233	280	255	183	120	133
GENE_0168	89	61	76	57	53	61
GENE_0169	67	49	62	58	53	75
GENE_0170	85	81	63	40	49	54
GENE_0171	315	337	505	384	313	405
GENE_0172	249	151	188	202	168	91
GENE_0173	80	113	101	49	125	117
GENE_0174	65	75	113	101	88	47
GENE_0175	94	82	151	114	191	113
