gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
NKX3-1,893.59,2.577,0.175,14.72,4.8413371802260524e-49,2.6482114375836506e-46,Up-regulated
GUCY1A3,150.04,2.336,0.176,13.25,4.371481685472016e-40,1.1956002409765965e-37,Up-regulated
MAOA,202.86,1.852,0.177,10.45,1.4156141725722967e-25,2.5811365079901543e-23,Up-regulated
ABCC4,1853.06,2.668,0.308,8.67,4.215367015476697e-18,5.764514393664383e-16,Up-regulated
ACSL3,240.84,2.235,0.262,8.52,1.6045581314945988e-17,1.7553865958550912e-15,Up-regulated
IGF1R,274.69,1.812,0.238,7.6,2.853140794828995e-14,2.601113357952434e-12,Up-regulated
NDRG1,319.24,1.54,0.216,7.14,9.035965939681953e-13,7.060961955722899e-11,Up-regulated
ZBTB10,150.84,2.436,0.353,6.9,5.223733386677674e-12,3.5717277031408596e-10,Up-regulated
TMPRSS2,172.38,2.709,0.396,6.84,8.01617298242613e-12,4.872051801541215e-10,Up-regulated
SEC14L2,215.87,1.238,0.183,6.77,1.2552300375502094e-11,6.866108305399645e-10,Up-regulated
CCND1,141.3,-1.679,0.279,-6.02,1.695314346792195e-09,8.43033588813937e-08,Down-regulated
KLK3,17044.92,2.049,0.344,5.95,2.6172769149900125e-09,1.1930420604162807e-07,Up-regulated
CDH1,59.45,-2.257,0.38,-5.94,2.867029460440755e-09,1.2063577806623793e-07,Down-regulated
FOXA1,172.94,-1.216,0.207,-5.89,3.970317719223995e-09,1.5512598517253752e-07,Down-regulated
PPAP2A,103.11,2.352,0.407,5.77,7.833929054805971e-09,2.8567727953192444e-07,Up-regulated
IGFBP3,257.56,-1.079,0.188,-5.75,9.04040484714025e-09,3.0906884071160734e-07,Down-regulated
STEAP1,98.48,2.447,0.428,5.72,1.0422675397354957e-08,3.3536490837371535e-07,Up-regulated
FKBP5,6945.34,2.392,0.427,5.6,2.195706501692811e-08,6.672508091255376e-07,Up-regulated
HERC3,34.89,1.411,0.254,5.56,2.6425983601229564e-08,7.607901594669775e-07,Up-regulated
BCL2,169.11,-1.386,0.258,-5.37,8.019912617700046e-08,2.1934461009409625e-06,Down-regulated
ELL2,113.6,1.699,0.329,5.16,2.4303192613554255e-07,6.330403028387704e-06,Up-regulated
GENE_0496,64.27,-1.095,0.217,-5.04,4.6625655896001364e-07,1.1592833534142157e-05,Down-regulated
GENE_0130,169.86,0.734,0.15,4.88,1.0487258646210514e-06,2.494143686729196e-05,Not Significant
GENE_0167,198.29,-0.835,0.175,-4.77,1.8774004928343813e-06,4.278908623251694e-05,Not Significant
GENE_0058,221.36,-0.656,0.143,-4.59,4.532558766246462e-06,9.91723858054726e-05,Not Significant
GENE_0202,318.95,0.621,0.136,4.57,4.824431296603816e-06,0.0001014986122785495,Not Significant
IL6,45.54,-1.398,0.307,-4.55,5.4523369254020665e-06,0.00011046030734055297,Down-regulated
GENE_0051,261.24,0.618,0.139,4.43,9.396246185406736e-06,0.00018356238083633874,Not Significant
DKK1,94.72,-1.348,0.326,-4.13,3.632728311039354e-05,0.0006852077193581126,Down-regulated
STEAP2,2259.06,2.177,0.547,3.98,6.911069902064311e-05,0.0012592799966606011,Up-regulated
SNAI2,171.43,-1.331,0.335,-3.97,7.136687366815107e-05,0.0012592799966606011,Down-regulated
CDKN1A,13.86,-1.907,0.492,-3.88,0.00010554746435490449,0.0018042019688166485,Down-regulated
GENE_0473,165.24,0.617,0.162,3.81,0.00013766468878484295,0.0022818965080396696,Not Significant
YWHAZ,67.77,0.71,0.193,3.67,0.00023978046264794682,0.0038576445020125564,Not Significant
GENE_0219,208.36,-0.816,0.225,-3.62,0.00029584971005657077,0.004623708325741264,Not Significant
GENE_0170,61.22,-0.692,0.195,-3.56,0.00037733559840888816,0.005733404786935051,Not Significant
GENE_0427,153.51,0.519,0.152,3.4,0.000664149159902775,0.009818637580184269,Not Significant
SLC45A3,138.32,1.482,0.44,3.37,0.0007639429561841237,0.010996757816650413,Up-regulated
GENE_0052,153.86,0.787,0.236,3.34,0.0008331310162070977,0.011556469253218076,Not Significant
GENE_0317,333.19,0.542,0.162,3.34,0.0008450800185168612,0.011556469253218076,Not Significant
GENE_0137,171.38,-0.727,0.231,-3.15,0.0016513053926840565,0.022030830482882416,Not Significant
GENE_0452,119.05,0.813,0.26,3.12,0.00180522122781526,0.023510857419403505,Not Significant
VIM,69.13,-0.671,0.22,-3.06,0.002242045631366488,0.028208834676078143,Not Significant
GENE_0061,106.06,-0.7,0.229,-3.05,0.002269083593688187,0.028208834676078143,Not Significant
GENE_0287,36.76,0.707,0.232,3.04,0.002363201889587793,0.02872603185787828,Not Significant
GENE_0472,43.96,0.722,0.245,2.95,0.0032110665867572685,0.03818377006426578,Not Significant
ACTB,6081.01,-0.901,0.316,-2.85,0.004321452474853157,0.050294351143503765,Not Significant
TGFB2,170.78,-1.135,0.407,-2.79,0.005337666019620125,0.06082715234858768,Not Significant
GENE_0303,232.91,-0.391,0.141,-2.77,0.005622417105272451,0.06200830258570008,Not Significant
GENE_0105,26.69,-0.77,0.278,-2.77,0.005668034971270574,0.06200830258570008,Not Significant
GENE_0247,35.86,-0.683,0.253,-2.7,0.006917498199024615,0.07341651026087109,Not Significant
GENE_0027,352.76,-0.361,0.134,-2.7,0.00697926605770621,0.07341651026087109,Not Significant
MYC,34.04,-2.624,0.977,-2.69,0.0072165461803327885,0.0744802030309818,Not Significant
GENE_0419,139.65,0.701,0.264,2.65,0.007957482418897202,0.08060634968771795,Not Significant
PMEPA1,286.91,1.787,0.679,2.63,0.008538950167122193,0.08492374075301526,Not Significant
GENE_0374,35.06,-0.826,0.315,-2.62,0.008762824215913281,0.08559401510901009,Not Significant
GENE_0177,302.53,0.566,0.217,2.61,0.00899177846025592,0.08628952311859629,Not Significant
GENE_0269,145.96,-0.854,0.336,-2.54,0.011055405544952528,0.10426391091532816,Not Significant
GENE_0261,341.35,0.752,0.297,2.53,0.011345532061605738,0.10518654301183626,Not Significant
GENE_0403,120.28,-0.751,0.298,-2.52,0.011723766540304688,0.10688167162577773,Not Significant
GENE_0072,65.79,-0.465,0.188,-2.47,0.013554299765311145,0.1215442946168065,Not Significant
GENE_0160,321.4,-0.52,0.213,-2.44,0.014545569202218368,0.12832945731634593,Not Significant
GENE_0369,242.51,-0.342,0.14,-2.44,0.014880083897574352,0.12919691892020907,Not Significant
GENE_0314,51.17,-0.683,0.283,-2.41,0.015770576345874737,0.13478914470614814,Not Significant
GENE_0437,574.78,-0.447,0.186,-2.4,0.016373788524183225,0.13779172804197268,Not Significant
GENE_0402,39.51,0.722,0.303,2.38,0.01734999643350629,0.1437946674110294,Not Significant
GENE_0055,374.57,0.562,0.237,2.37,0.017695189274246282,0.14446669452257788,Not Significant
GENE_0026,51.0,-0.522,0.221,-2.36,0.018094532429172874,0.14555454762878767,Not Significant
S100A6,413.74,1.058,0.45,2.35,0.01857931691231923,0.14728820798606695,Not Significant
GENE_0227,134.54,-0.623,0.27,-2.31,0.02077366042459233,0.16233131788931435,Not Significant
GENE_0103,138.89,0.454,0.199,2.28,0.022624943155411564,0.17430766064802994,Not Significant
GENE_0144,163.57,0.692,0.305,2.27,0.023280934205517273,0.1767048492106188,Not Significant
GENE_0484,276.64,-0.54,0.239,-2.26,0.023747180745117724,0.1767048492106188,Not Significant
GENE_0122,57.88,-0.443,0.196,-2.26,0.023905226401436545,0.1767048492106188,Not Significant
GENE_0073,53.77,-0.521,0.232,-2.24,0.024803400645861763,0.18089946871048512,Not Significant
GENE_0168,65.26,-0.417,0.189,-2.21,0.027184824654714525,0.19565919850169533,Not Significant
