gene_id,Control_Rep1,Control_Rep2,Control_Rep3,Treated_Rep1,Treated_Rep2,Treated_Rep3
KLK3,5310.6,8246.65,6344.11,30182.07,32557.48,19628.58
FKBP5,1940.24,2144.43,2582.79,7599.84,14116.72,13288.05
TMPRSS2,41.28,59.01,35.8,216.33,309.49,372.4
NKX3-1,106.15,369.07,293.39,1437.94,1670.27,1484.7
SLC45A3,88.46,54.01,75.58,194.79,138.53,278.57
ELL2,65.85,59.01,34.81,166.41,137.55,217.97
ABCC4,643.8,323.06,544.01,3881.17,2560.42,3165.87
HERC3,20.64,15.0,20.89,48.94,49.13,54.74
ZBTB10,37.35,63.01,39.78,211.43,229.91,323.53
PMEPA1,132.69,127.03,126.31,442.44,679.9,213.08
STEAP1,22.61,50.01,17.9,209.48,118.88,172.03
STEAP2,1041.87,755.15,656.39,4028.97,4977.4,2094.61
S100A6,236.88,182.04,385.88,347.49,735.9,594.27
GUCY1A3,56.03,48.01,43.76,227.09,280.02,245.33
SEC14L2,121.88,100.02,163.1,305.4,336.02,268.79
PPAP2A,24.57,32.01,43.76,213.39,184.71,120.22
MAOA,67.82,67.01,128.29,312.26,300.65,341.12
ACSL3,69.79,76.02,106.41,446.36,316.37,430.07
NDRG1,139.57,134.03,215.81,426.78,447.04,552.24
IGF1R,110.08,136.03,118.35,420.91,506.98,355.78
MYC,35.38,38.01,103.43,3.92,8.84,14.66
DKK1,158.25,149.03,101.44,34.26,51.09,74.28
CDH1,93.38,124.02,78.57,10.77,18.67,31.28
IL6,55.04,81.02,62.66,23.49,34.39,16.62
IGFBP3,373.5,304.06,371.95,142.91,213.2,139.77
SNAI2,306.66,242.05,187.97,136.06,82.53,73.31
VIM,75.68,77.02,102.44,64.6,47.16,47.89
TGFB2,194.61,314.06,195.92,112.57,56.99,150.52
MKI67,106.15,97.02,61.66,57.75,144.43,62.55
CDKN1A,16.71,21.0,28.84,2.94,3.93,9.77
TOP2A,102.22,50.01,47.74,45.03,39.3,41.05
CCND1,217.22,179.04,250.62,37.2,95.3,68.42
AURKA,49.14,44.01,48.73,38.18,41.27,20.53
BCL2,299.78,198.04,236.7,92.99,88.43,98.72
FOXA1,258.5,197.04,270.51,97.89,120.85,92.86
ACTB,6041.87,7369.47,10352.06,4938.33,3613.68,4170.66
GAPDH,9760.17,7262.45,8065.64,14175.8,10827.27,6146.03
TBP,135.64,213.04,140.23,190.88,244.65,135.86
B2M,130.73,168.03,139.23,146.83,98.25,110.45
HPRT1,21.62,12.0,21.88,13.7,22.6,14.66
RPLP0,45.21,55.01,45.75,55.79,42.25,39.1
PPIA,67.82,52.01,56.69,69.5,55.02,30.3
GUSB,16.71,18.0,11.93,16.64,2.95,11.73
PGK1,178.89,248.05,309.3,237.86,349.77,223.83
YWHAZ,53.08,65.01,35.8,79.29,84.5,88.95
SDHA,348.93,289.06,369.97,360.22,280.02,351.87
HMBS,57.01,47.01,23.87,56.77,62.88,55.71
GENE_0001,23.59,23.0,33.81,21.53,25.55,24.44
GENE_0002,257.52,455.09,170.06,283.87,285.91,362.62
GENE_0003,242.78,418.08,447.54,209.48,449.01,382.17
GENE_0004,14.74,17.0,17.9,19.58,12.77,14.66
GENE_0005,217.22,168.03,248.63,191.86,168.01,388.04
GENE_0006,571.06,254.05,319.24,384.69,388.09,354.8
GENE_0007,1025.16,1419.28,766.78,604.93,995.28,1162.15
GENE_0008,124.83,112.02,215.81,112.57,137.55,175.94
GENE_0009,413.8,428.09,192.94,435.59,382.2,352.85
GENE_0010,22.61,28.01,23.87,24.47,31.44,22.48
GENE_0011,73.72,75.02,36.8,62.65,77.62,37.14
GENE_0012,152.35,94.02,132.27,79.29,42.25,169.09
GENE_0013,84.53,77.02,270.51,93.97,164.08,118.27
GENE_0014,19.66,35.01,26.85,36.22,28.49,45.94
GENE_0015,133.67,224.04,133.27,120.4,153.27,160.3
GENE_0016,654.61,402.08,492.29,511.94,513.85,306.91
GENE_0017,226.07,175.04,156.14,197.73,162.11,165.18
GENE_0018,887.56,551.11,1528.59,852.58,1812.73,1837.55
GENE_0019,31.45,25.01,19.89,17.62,39.3,36.16
GENE_0020,30.47,50.01,63.65,49.92,55.02,39.1
GENE_0021,39.32,54.01,44.75,33.28,25.55,67.44
GENE_0022,142.52,92.02,106.41,121.38,171.94,244.36
GENE_0023,31.45,11.0,36.8,46.01,26.53,18.57
GENE_0024,804.99,676.14,1153.65,709.67,1189.82,964.72
GENE_0025,91.41,77.02,86.52,132.15,83.51,95.79
GENE_0026,62.91,68.01,49.73,31.32,44.21,49.85
GENE_0027,384.31,381.08,424.66,348.47,259.38,318.64
GENE_0028,220.17,397.08,324.22,455.17,285.91,371.42
GENE_0029,78.63,123.02,65.64,66.56,75.65,75.26
GENE_0030,44.23,39.01,60.67,31.32,16.7,43.01
GENE_0031,118.93,145.03,90.5,134.1,138.53,137.82
GENE_0032,24.57,27.01,27.85,14.68,24.56,24.44
GENE_0033,109.1,129.03,133.27,125.29,80.57,123.16
GENE_0034,22.61,48.01,28.84,26.43,24.56,45.94
GENE_0035,42.26,53.01,56.69,67.54,32.42,36.16
GENE_0036,152.35,250.05,178.02,178.15,254.47,387.06
GENE_0037,325.34,832.17,882.15,1112.96,747.69,717.43
GENE_0038,72.73,51.01,92.49,58.73,76.64,111.43
GENE_0039,564.18,170.03,345.1,506.07,513.85,519.01
GENE_0040,264.4,364.07,388.86,355.32,346.83,365.56
GENE_0041,655.59,491.1,189.96,528.58,597.37,581.57
GENE_0042,93.38,60.01,115.37,61.67,81.55,72.33
GENE_0043,543.54,477.1,643.46,687.16,454.9,393.9
GENE_0044,133.67,108.02,121.33,150.74,173.9,62.55
GENE_0045,183.8,118.02,67.63,149.77,200.43,197.44
GENE_0046,139.57,71.01,32.82,71.46,101.2,86.01
GENE_0047,52.09,49.01,30.83,32.3,48.14,75.26
