gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
NKX3-1,893.59,2.577,0.175,14.72,4.8413371802260524e-49,2.6482114375836506e-46,Up-regulated
GUCY1A3,150.04,2.336,0.176,13.25,4.371481685472016e-40,1.1956002409765965e-37,Up-regulated
MAOA,202.86,1.852,0.177,10.45,1.4156141725722967e-25,2.5811365079901543e-23,Up-regulated
ABCC4,1853.06,2.668,0.308,8.67,4.215367015476697e-18,5.764514393664383e-16,Up-regulated
ACSL3,240.84,2.235,0.262,8.52,1.6045581314945988e-17,1.7553865958550912e-15,Up-regulated
IGF1R,274.69,1.812,0.238,7.6,2.853140794828995e-14,2.601113357952434e-12,Up-regulated
NDRG1,319.24,1.54,0.216,7.14,9.035965939681953e-13,7.060961955722899e-11,Up-regulated
ZBTB10,150.84,2.436,0.353,6.9,5.223733386677674e-12,3.5717277031408596e-10,Up-regulated
TMPRSS2,172.38,2.709,0.396,6.84,8.01617298242613e-12,4.872051801541215e-10,Up-regulated
SEC14L2,215.87,1.238,0.183,6.77,1.2552300375502094e-11,6.866108305399645e-10,Up-regulated
CCND1,141.3,-1.679,0.279,-6.02,1.695314346792195e-09,8.43033588813937e-08,Down-regulated
KLK3,17044.92,2.049,0.344,5.95,2.6172769149900125e-09,1.1930420604162807e-07,Up-regulated
CDH1,59.45,-2.257,0.38,-5.94,2.867029460440755e-09,1.2063577806623793e-07,Down-regulated
FOXA1,172.94,-1.216,0.207,-5.89,3.970317719223995e-09,1.5512598517253752e-07,Down-regulated
PPAP2A,103.11,2.352,0.407,5.77,7.833929054805971e-09,2.8567727953192444e-07,Up-regulated
IGFBP3,257.56,-1.079,0.188,-5.75,9.04040484714025e-09,3.0906884071160734e-07,Down-regulated
STEAP1,98.48,2.447,0.428,5.72,1.0422675397354957e-08,3.3536490837371535e-07,Up-regulated
FKBP5,6945.34,2.392,0.427,5.6,2.195706501692811e-08,6.672508091255376e-07,Up-regulated
HERC3,34.89,1.411,0.254,5.56,2.6425983601229564e-08,7.607901594669775e-07,Up-regulated
BCL2,169.11,-1.386,0.258,-5.37,8.019912617700046e-08,2.1934461009409625e-06,Down-regulated
ELL2,113.6,1.699,0.329,5.16,2.4303192613554255e-07,6.330403028387704e-06,Up-regulated
GENE_0496,64.27,-1.095,0.217,-5.04,4.6625655896001364e-07,1.1592833534142157e-05,Down-regulated
IL6,45.54,-1.398,0.307,-4.55,5.4523369254020665e-06,0.00011046030734055297,Down-regulated
DKK1,94.72,-1.348,0.326,-4.13,3.632728311039354e-05,0.0006852077193581126,Down-regulated
STEAP2,2259.06,2.177,0.547,3.98,6.911069902064311e-05,0.0012592799966606011,Up-regulated
SNAI2,171.43,-1.331,0.335,-3.97,7.136687366815107e-05,0.0012592799966606011,Down-regulated
CDKN1A,13.86,-1.907,0.492,-3.88,0.00010554746435490449,0.0018042019688166485,Down-regulated
SLC45A3,138.32,1.482,0.44,3.37,0.0007639429561841237,0.010996757816650413,Up-regulated
